School,School Abb,State,State Abb
Appalachian State University,APP,North Carolina,NC
Arizona State University,ASU,Arizona,AZ
Arkansas State University,ARST,Arkansas,AR
Auburn University,AUB,Alabama,AL
Ball State University,BALL,Indiana,IN
Boise State University,BSU,Idaho,ID
Bowling Green State University,BGSU,Ohio,OH
California State University-Fresno,FRES,California,CA
Central Michigan University,CMU,Michigan,MI
Clemson University,CLEM,South Carolina,SC
Coastal Carolina University,CCU,South Carolina,SC
Colorado State University,CSU,Colorado,CO
East Carolina University,ECU,North Carolina,NC
Eastern Michigan University,EMU,Michigan,MI
Florida Atlantic University,FAU,Florida,FL
Florida International University,FIU,Florida,FL
Florida State University,FSU,Florida,FL
Georgia Institute of Technology,GT,Georgia,GA
Georgia Southern University,GASO,Georgia,GA
Georgia State University,GSU,Georgia,GA
Indiana University-Bloomington,IND,Indiana,IN
Iowa State University,ISU,Iowa,IA
Kansas State University,KSU,Kansas,KS
Kent State University,KENT,Ohio,OH
Louisiana State University and Agricultural & Mechanical College,LSU,Louisiana,LA
Louisiana Tech University,LT,Louisiana,LA
Marshall University,MRSH,West Virginia,WV
Miami University,M-OH,Florida,FL
Michigan State University,MSU,Michigan,MI
Middle Tennessee State University,MTSU,Tennessee,TN
Mississippi State University,MSST,Mississippi,MS
New Mexico State University,NMSU,New Mexico,NM
North Carolina State University at Raleigh,NCST,North Carolina,NC
Northern Illinois University,NIU,Illinois,IL
Ohio University,OHIO,Ohio,OH
Oklahoma State University,OKST,Oklahoma,OK
Old Dominion University,ODU,Virginia,VA
Oregon State University,ORST,Oregon,OR
Pennsylvania State University,PSU,Pennsylvania,PA
Purdue University,PUR,Indiana,IN
"Rutgers, The State University of New Jersey-New Brunswick",RUTG,New Jersey,NJ
San Diego State University,SDSU,California,CA
San Jose State University,SJSU,California,CA
Texas A & M University,TAMU,Texas,TX
Texas State University,TXST,Texas,TX
Texas Tech University,TTU,Texas,TX
The Ohio State University,OSU,Ohio,OH
The University of Alabama,BAMA,Alabama,AL
The University of Tennessee,TENN,Tennessee,TN
The University of Texas at Austin,TEX,Texas,TX
The University of Texas at El Paso,UTEP,Texas,TX
The University of Texas at San Antonio,UTSA,Texas,TX
Troy University,TROY,Alabama,AL
United States Air Force Academy,AFA,Colorado,CO
United States Military Academy,ARMY,New York,NY
"University at Buffalo, The State University of New York",BUFF,New York,NY
University of Akron,AKR,Ohio,OH
University of Alabama at Birmingham,UAB,Alabama,AL
University of Arizona,ARIZ,Arizona,AZ
University of Arkansas,ARK,Arkansas,AR
University of California-Berkeley,CAL,California,CA
University of California-Los Angeles,UCLA,California,CA
University of Central Florida,UCF,Florida,FL
University of Cincinnati,CIN,Ohio,OH
University of Colorado Boulder,COLO,Colorado,CO
University of Connecticut,UCONN,Connecticut,CT
University of Florida,FLA,Florida,FL
University of Georgia,UGA,Georgia,GA
University of Hawaii at Manoa,HAW,Hawaii,HI
University of Houston,HOU,Texas,TX
University of Idaho,IDHO,Idaho,ID
University of Illinois at Urbana-Champaign,ILL,Illinois,IL
University of Iowa,IOWA,Iowa,IA
University of Kansas,KU,Kansas,KS
University of Kentucky,UK,Kentucky,KY
University of Louisiana at Lafayette,ULL,Louisiana,LA
University of Louisiana at Monroe,ULM,Louisiana,LA
University of Louisville,LOU,Kentucky,KY
University of Maryland-College Park,UMD,Maryland,MD
University of Massachusetts Amherst,UMASS,Massachusetts,MA
University of Memphis,MEM,Tennessee,TN
University of Michigan,MICH,Michigan,MI
University of Minnesota-Twin Cities,MINN,Minnesota,MN
University of Mississippi,MISS,Mississippi,MS
University of Missouri-Columbia,MIZZ,Missouri,MO
University of Nebraska-Lincoln,NEB,Nebraska,NE
University of Nevada-Las Vegas,UNLV,Nevada,NV
University of Nevada-Reno,NEV,Nevada,NV
University of New Mexico,UNM,New Mexico,NM
University of North Carolina at Chapel Hill,UNC,North Carolina,NC
University of North Carolina at Charlotte,UNCC,North Carolina,NC
University of North Texas,UNT,Texas,TX
University of Oklahoma,OKLA,Oklahoma,OK
University of Oregon,ORE,Oregon,OR
University of South Alabama,USA,Alabama,AL
University of South Carolina,SCAR,South Carolina,SC
University of South Florida,USF,Florida,FL
University of Southern Mississippi,USM,Mississippi,MS
University of Toledo,TOL,Ohio,OH
University of Utah,UTAH,Utah,UT
University of Virginia,UVA,Virginia,VA
University of Washington,WASH,Washington,WA
University of Wisconsin-Madison,WIS,Wisconsin,WI
University of Wyoming,WYO,Wyoming,WY
Utah State University,USU,Utah,UT
Virginia Polytechnic Institute and State University,VT,Virginia,VA
Washington State University,WSU,Washington,WA
West Virginia University,WVU,Virginia,VA
Western Kentucky University,WKU,Kentucky,KY
Western Michigan University,WMU,Michigan,MI
